0 tensor(7.4684, device='cuda:0')
1 tensor(11.4903, device='cuda:0')
2 tensor(22.1614, device='cuda:0')
3 tensor(29.8455, device='cuda:0')
4 tensor(36.0442, device='cuda:0')
5 tensor(40.7241, device='cuda:0')
6 tensor(44.6029, device='cuda:0')
7 tensor(48.2189, device='cuda:0')
8 tensor(51.0873, device='cuda:0')
9 tensor(53.3235, device='cuda:0')
10 tensor(55.7041, device='cuda:0')
11 tensor(57.2449, device='cuda:0')
12 tensor(59.0020, device='cuda:0')
13 tensor(60.2602, device='cuda:0')
14 tensor(61.7291, device='cuda:0')
15 tensor(63.0694, device='cuda:0')
16 tensor(63.9140, device='cuda:0')
17 tensor(64.8943, device='cuda:0')
18 tensor(65.8755, device='cuda:0')
19 tensor(66.7738, device='cuda:0')
20 tensor(67.2426, device='cuda:0')
21 tensor(68.1227, device='cuda:0')
22 tensor(68.7700, device='cuda:0')
23 tensor(69.5562, device='cuda:0')
24 tensor(69.8806, device='cuda:0')
25 tensor(70.6502, device='cuda:0')
26 tensor(70.8420, device='cuda:0')
27 tensor(71.4087, device='cuda:0')
28 tensor(71.7308, device='cuda:0')
29 tensor(72.0773, device='cuda:0')
30 tensor(78.5048, device='cuda:0')
31 tensor(80.4245, device='cuda:0')
32 tensor(81.3543, device='cuda:0')
33 tensor(81.8240, device='cuda:0')
34 tensor(82.2644, device='cuda:0')
35 tensor(82.6196, device='cuda:0')
36 tensor(82.7909, device='cuda:0')
37 tensor(83.0830, device='cuda:0')
38 tensor(83.5866, device='cuda:0')
39 tensor(83.7137, device='cuda:0')
40 tensor(83.8431, device='cuda:0')
41 tensor(84.0689, device='cuda:0')
42 tensor(84.4075, device='cuda:0')
43 tensor(84.3696, device='cuda:0')
44 tensor(84.7185, device='cuda:0')
45 tensor(84.9671, device='cuda:0')
46 tensor(85.2284, device='cuda:0')
47 tensor(85.2568, device='cuda:0')
48 tensor(85.4810, device='cuda:0')
49 tensor(85.4407, device='cuda:0')
50 tensor(85.9041, device='cuda:0')
51 tensor(85.8425, device='cuda:0')
52 tensor(85.9704, device='cuda:0')
53 tensor(86.1922, device='cuda:0')
54 tensor(86.3635, device='cuda:0')
55 tensor(86.6074, device='cuda:0')
56 tensor(86.6760, device='cuda:0')
57 tensor(86.8394, device='cuda:0')
58 tensor(86.7936, device='cuda:0')
59 tensor(87.0770, device='cuda:0')
60 tensor(88.2097, device='cuda:0')
61 tensor(88.6036, device='cuda:0')
62 tensor(88.7922, device='cuda:0')
63 tensor(88.8759, device='cuda:0')
64 tensor(88.8775, device='cuda:0')
65 tensor(89.1806, device='cuda:0')
66 tensor(88.9762, device='cuda:0')
67 tensor(89.0693, device='cuda:0')
68 tensor(89.2690, device='cuda:0')
69 tensor(89.4040, device='cuda:0')
70 tensor(89.2714, device='cuda:0')
71 tensor(89.2856, device='cuda:0')
72 tensor(89.3061, device='cuda:0')
73 tensor(89.4924, device='cuda:0')
74 tensor(89.4766, device='cuda:0')
75 tensor(89.4411, device='cuda:0')
76 tensor(89.5863, device='cuda:0')
77 tensor(89.6581, device='cuda:0')
78 tensor(89.5042, device='cuda:0')
79 tensor(89.4434, device='cuda:0')
80 tensor(89.5713, device='cuda:0')
81 tensor(89.7094, device='cuda:0')
82 tensor(89.7781, device='cuda:0')
83 tensor(89.9068, device='cuda:0')
84 tensor(89.8642, device='cuda:0')
85 tensor(89.7079, device='cuda:0')
86 tensor(89.8223, device='cuda:0')
87 tensor(89.8847, device='cuda:0')
88 tensor(89.8207, device='cuda:0')
89 tensor(90.0031, device='cuda:0')
90 tensor(89.9028, device='cuda:0')
91 tensor(90.0954, device='cuda:0')
92 tensor(89.9928, device='cuda:0')
93 tensor(90.1641, device='cuda:0')
94 tensor(89.8515, device='cuda:0')
95 tensor(89.9912, device='cuda:0')
96 tensor(90.0757, device='cuda:0')
97 tensor(90.0749, device='cuda:0')
98 tensor(90.0433, device='cuda:0')
99 tensor(90.1436, device='cuda:0')
100 tensor(90.1025, device='cuda:0')
101 tensor(90.0212, device='cuda:0')
102 tensor(90.2091, device='cuda:0')
103 tensor(90.1499, device='cuda:0')
104 tensor(90.2154, device='cuda:0')
105 tensor(90.1957, device='cuda:0')
106 tensor(90.0378, device='cuda:0')
107 tensor(90.2146, device='cuda:0')
108 tensor(90.0670, device='cuda:0')
109 tensor(90.1673, device='cuda:0')
110 tensor(90.1736, device='cuda:0')
111 tensor(90.0931, device='cuda:0')
112 tensor(90.3093, device='cuda:0')
113 tensor(90.1357, device='cuda:0')
114 tensor(90.2083, device='cuda:0')
115 tensor(90.0623, device='cuda:0')
116 tensor(90.3141, device='cuda:0')
117 tensor(90.1578, device='cuda:0')
118 tensor(90.2833, device='cuda:0')
119 tensor(89.9676, device='cuda:0')
